# t=0開傘 (Up to date)
# 1065 data points written for 8 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.4 m/s):  "Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral velocity (m/s),Angle of attack (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
3.903,275.627,144.314,14.409,46.096,0.004,28.75,0.433
3.907,276.168,144.26,14.409,46.204,0.004,28.749,0.444
3.912,276.979,144.179,14.41,46.366,0.004,28.748,0.459
3.921,278.195,144.058,14.41,46.608,0.004,28.746,0.48
3.931,279.662,143.911,14.409,46.901,0.004,28.745,0.502
3.946,281.859,143.691,14.404,47.34,0.004,28.743,0.527
3.959,283.686,143.507,14.416,47.706,0.004,28.742,0.586
3.978,286.421,143.23,14.618,48.254,0.004,28.743,0.688
3.987,287.698,143.1,14.709,48.511,0.004,28.744,0.73
# Event BURNOUT occurred at t=4 seconds
4,289.557,142.903,15.491,48.884,0.004,28.746,0.783
4.02,292.341,142.602,15.454,49.445,0.004,28.748,0.755
4.049,296.505,142.151,15.382,50.286,0.004,28.747,0.676
4.093,302.728,141.478,15.295,51.547,0.004,28.74,0.609
4.143,309.782,140.716,15.154,52.983,0.004,28.721,0.419
4.193,316.799,139.964,14.987,54.419,0.005,28.68,0.09
4.243,323.779,139.222,14.852,55.851,0.005,28.611,0.242
4.293,330.722,138.487,14.763,57.279,0.005,28.521,0.415
4.343,337.628,137.758,14.687,58.703,0.005,28.42,0.558
4.393,344.497,137.034,14.617,60.121,0.006,28.306,0.736
4.443,351.331,136.314,14.568,61.533,0.006,28.189,0.631
4.493,358.129,135.594,14.536,62.94,0.006,28.087,0.422
4.543,364.89,134.873,14.501,64.342,0.006,27.999,0.319
4.593,371.616,134.151,14.518,65.74,0.006,27.927,0.025
4.643,378.306,133.427,14.515,67.135,0.007,27.878,0.204
4.693,384.959,132.702,14.539,68.528,0.007,27.843,0.444
4.743,391.576,131.975,14.542,69.92,0.007,27.824,0.596
4.793,398.156,131.249,14.469,71.311,0.007,27.809,0.536
4.843,404.701,130.529,14.362,72.701,0.008,27.784,0.375
4.893,411.209,129.814,14.286,74.089,0.008,27.75,0.304
4.943,417.682,129.102,14.22,75.476,0.008,27.712,0.265
4.993,424.12,128.393,14.179,76.86,0.008,27.676,0.319
5.043,430.522,127.688,14.054,78.243,0.009,27.634,0.047
5.093,436.888,126.991,13.96,79.623,0.009,27.575,0.142
5.143,443.221,126.299,13.861,81,0.009,27.501,0.427
5.193,449.518,125.613,13.8,82.373,0.009,27.414,0.507
5.243,455.782,124.929,13.762,83.742,0.01,27.328,0.431
5.293,462.011,124.247,13.726,85.106,0.01,27.25,0.358
5.343,468.207,123.565,13.696,86.467,0.01,27.177,0.256
5.393,474.368,122.884,13.68,87.824,0.011,27.114,0.098
5.443,480.495,122.202,13.672,89.179,0.011,27.062,0.074
5.493,486.588,121.52,13.648,90.531,0.011,27.019,0.16
5.543,492.647,120.84,13.62,91.88,0.011,26.981,0.227
5.593,498.672,120.161,13.552,93.229,0.012,26.942,0.125
5.643,504.663,119.486,13.507,94.575,0.012,26.899,0.119
5.693,510.621,118.813,13.461,95.918,0.012,26.856,0.111
5.743,516.545,118.143,13.414,97.26,0.013,26.812,0.092
5.793,522.435,117.476,13.343,98.6,0.013,26.765,0.042
5.843,528.292,116.812,13.293,99.937,0.013,26.712,0.08
5.893,534.116,116.15,13.269,101.271,0.013,26.662,0.011
5.943,539.907,115.489,13.229,102.603,0.014,26.615,0.02
5.993,545.665,114.83,13.205,103.932,0.014,26.571,0.105
6.043,551.39,114.171,13.18,105.26,0.014,26.532,0.177
6.093,557.082,113.515,13.124,106.586,0.015,26.494,0.11
6.143,562.742,112.862,13.048,107.909,0.015,26.449,0.068
6.193,568.369,112.213,12.985,109.23,0.015,26.396,0.192
6.243,573.963,111.567,12.947,110.549,0.016,26.341,0.185
6.293,579.525,110.923,12.915,111.864,0.016,26.287,0.151
6.343,585.056,110.28,12.881,113.178,0.016,26.235,0.13
6.393,590.554,109.639,12.841,114.488,0.017,26.184,0.144
6.443,596.019,109,12.806,115.796,0.017,26.133,0.138
6.493,601.454,108.363,12.761,117.101,0.017,26.081,0.187
6.543,606.856,107.727,12.748,118.404,0.018,26.031,0.063
6.593,612.226,107.093,12.708,119.704,0.018,25.985,0.09
6.643,617.565,106.46,12.676,121.003,0.019,25.938,0.074
6.693,622.872,105.828,12.655,122.298,0.019,25.893,0.007
6.743,628.148,105.197,12.638,123.592,0.019,25.852,0.082
6.793,633.392,104.567,12.592,124.883,0.02,25.812,0.017
6.843,638.605,103.939,12.583,126.173,0.02,25.772,0.139
6.893,643.786,103.311,12.579,127.461,0.02,25.74,0.278
6.943,648.936,102.684,12.522,128.747,0.021,25.709,0.169
6.993,654.054,102.059,12.511,130.032,0.021,25.677,0.278
7.043,659.142,101.436,12.459,131.315,0.021,25.646,0.187
7.093,664.198,100.816,12.384,132.596,0.022,25.609,0.025
7.143,669.223,100.199,12.365,133.876,0.022,25.568,0.05
7.193,674.218,99.582,12.331,135.153,0.023,25.53,0.046
7.243,679.182,98.968,12.308,136.429,0.023,25.493,0.097
7.293,684.115,98.354,12.277,137.702,0.023,25.458,0.107
7.343,689.017,97.742,12.234,138.974,0.024,25.422,0.048
7.393,693.889,97.133,12.186,140.245,0.024,25.384,0.044
7.443,698.73,96.525,12.16,141.513,0.025,25.344,0.012
7.493,703.542,95.92,12.109,142.779,0.025,25.304,0.129
7.543,708.322,95.317,12.061,144.043,0.025,25.26,0.235
7.593,713.073,94.718,12.014,145.305,0.026,25.211,0.346
7.643,717.794,94.12,11.989,146.564,0.026,25.161,0.318
7.693,722.485,93.522,11.998,147.821,0.027,25.117,0.083
7.743,727.146,92.924,11.965,149.076,0.027,25.078,0.114
7.793,731.778,92.328,11.926,150.329,0.028,25.036,0.179
7.843,736.379,91.734,11.907,151.58,0.028,24.995,0.126
7.893,740.951,91.139,11.91,152.828,0.028,24.958,0.053
7.943,745.493,90.545,11.889,154.076,0.029,24.926,0.089
7.993,750.006,89.951,11.894,155.321,0.029,24.896,0.266
8.043,754.488,89.358,11.855,156.565,0.03,24.87,0.204
8.093,758.941,88.767,11.82,157.808,0.03,24.842,0.157
8.143,763.365,88.177,11.798,159.049,0.031,24.813,0.187
8.193,767.759,87.588,11.784,160.289,0.031,24.787,0.259
8.243,772.124,87.001,11.744,161.528,0.032,24.761,0.184
8.293,776.459,86.414,11.743,162.765,0.032,24.736,0.335
8.343,780.765,85.829,11.678,164.002,0.032,24.711,0.116
8.393,785.042,85.247,11.642,165.236,0.033,24.681,0.057
8.443,789.29,84.666,11.606,166.47,0.033,24.649,0.006
8.493,793.509,84.088,11.571,167.701,0.034,24.617,0.066
8.543,797.699,83.511,11.542,168.931,0.034,24.583,0.086
8.593,801.86,82.936,11.492,170.16,0.035,24.547,0.257
